id,name,generic_term,generic_category,concise_code,lat,lon,location,decision_date
FASEN,Coleman,Geographic Township,Administrative Area,GEOG,47.3705556,-79.8102778,Timiskaming,1962-12-31
FELNP,Coleman,Township Municipality,Administrative Area,MUN2,47.3675000,-79.7594445,Timiskaming,1998-01-01
FASEM,Coleman,Railway Point,Populated Place,UNP,47.3936111,-79.7030555,Timiskaming,1961-06-07
FASEZ,Coleman's Shore,Dispersed Rural Community,Populated Place,UNP,45.0530556,-76.1613889,Lanark,1977-09-09
FASEU,Colemans,Dispersed Rural Community,Populated Place,UNP,43.2337900,-79.1240300,Niagara,1950-04-06
FASFD,Colenso,Geographic Township,Administrative Area,GEOG,49.9302778,-93.2719444,Kenora,1962-12-31
FASFJ,Coleraine,Dispersed Rural Community,Populated Place,UNP,43.8202778,-79.6797223,Peel,1950-07-06
FASFW,Colgan,Dispersed Rural Community,Populated Place,UNP,44.0278800,-79.8468500,Simcoe,1927-12-07
FASGG,Colinville,Dispersed Rural Community,Populated Place,UNP,42.8622222,-82.3402778,Lambton,1950-05-04
FASGT,Collingwood,Geographic Township,Administrative Area,GEOG,44.4668800,-80.3826600,Grey,1962-12-31
FASGS,Collingwood,Town,Populated Place,TOWN,44.5014000,-80.2407100,Simcoe,1950-06-02
FASGX,Collins,Geographic Township,Administrative Area,GEOG,48.0616667,-83.0508333,Sudbury,1962-12-31
FASGW,Collins,Compact Rural Community,Populated Place,UNP,50.2951570,-89.4459960,Thunder Bay,1939-12-12
FASGY,Collins Bay,Suburban Community,Populated Place,UNP,44.2457200,-76.6129500,Frontenac,1951-02-07
FASHF,Collins Inlet,Dispersed Rural Community,Populated Place,UNP,46.0019444,-81.1991667,Manitoulin,1927-02-01
FASHZ,Collishaw,Geographic Township,Administrative Area,GEOG,48.1482900,-83.8176600,Sudbury,1962-12-31
FASIC,Collison Heights,Urban Community,Populated Place,UNP,44.2786111,-78.3130555,Peterborough,1978-09-14
FASIE,Colliver,Geographic Township,Administrative Area,GEOG,49.0642500,-90.7529400,Thunder Bay,1962-12-31
FASIN,Colpoy's Bay,Dispersed Rural Community,Populated Place,UNP,44.7825000,-81.1283333,Bruce,1978-02-14
FASIT,Colquhoun,Geographic Township,Administrative Area,GEOG,49.2527778,-81.3705555,Cochrane,1962-12-31
FASIU,Colquhoun,Dispersed Rural Community,Populated Place,UNP,45.0149300,-75.1396100,Dundas,1963-11-08
FASIZ,Colter,Geographic Township,Administrative Area,GEOG,49.7072222,-87.2891667,Thunder Bay,1962-12-31
FASJF,Coltham,Geographic Township,Administrative Area,GEOG,49.6216900,-86.7560100,Thunder Bay,1962-12-31
FASJW,Columbus,Compact Rural Community,Populated Place,UNP,43.9828800,-78.9109200,Durham,1950-05-04
FASKE,Colwell,Dispersed Rural Community,Populated Place,UNP,44.3419445,-79.7897222,Simcoe,1950-09-07
FASKI,Comber,Locality,Populated Place,UNP,42.2309800,-82.5526700,Essex,1999-01-01
FASKJ,Combermere,Dispersed Rural Community,Populated Place,UNP,45.3641667,-77.6247222,Renfrew,1947-12-02
FERYC,Comet,Compact Rural Community,Populated Place,UNP,42.0132000,-82.9857400,Essex,1974-12-31
FIEVF,Comfort Maple Conservation Area,Conservation Area,Administrative Area,PARK,43.0592310,-79.3458370,Niagara,
FASKY,Commanda,Geographic Township,Administrative Area,GEOG,46.4002778,-79.5686111,Nipissing,1962-12-31
FASKX,Commanda,Dispersed Rural Community,Populated Place,UNP,45.9509800,-79.6065800,Parry Sound,1931-12-01
FEZZZ,Commanda Creek Conservation Reserve,Conservation Reserve,Administrative Area,PARK,45.8648300,-79.5644840,Parry Sound,2001-12-18
FASLR,Common,Geographic Township,Administrative Area,GEOG,48.6702778,-85.2680555,Algoma,1962-12-31
FASLS,Community Beach,Dispersed Rural Community,Populated Place,UNP,43.2382300,-79.7326800,Wentworth,1965-08-13
FASLZ,Comox,Geographic Township,Administrative Area,GEOG,47.0206000,-82.5248500,Sudbury,1962-12-31
FASMO,Conacher,Geographic Township,Administrative Area,GEOG,48.6286111,-90.0908333,Thunder Bay,1962-12-31
FASMQ,Conant,Geographic Township,Administrative Area,GEOG,50.3687600,-90.6224400,Thunder Bay,1962-12-31
FASNA,Concobar,Geographic Township,Administrative Area,GEOG,49.0148300,-82.7365300,Algoma,1962-12-31
FASNC,Concord,Urban Community,Populated Place,UNP,43.8083333,-79.4688889,York,1950-05-04
FASNF,Concord Point,Dispersed Rural Community,Populated Place,UNP,44.5391667,-79.2105555,Simcoe,1932-07-06
FASNT,Conestogo,Suburban Community,Populated Place,UNP,43.5413889,-80.5041667,Waterloo,1950-07-06
FIESJ,Conestogo Lake Conservation Area,Conservation Area,Administrative Area,PARK,43.6835900,-80.7121500,Wellington,
FAYUZ,Confederation Heights,Community,Populated Place,UNP,45.3766710,-75.6870960,Carleton,2004-03-05
FIESZ,Confederation Park Conservation Area,Conservation Area,Administrative Area,PARK,43.2473100,-79.7520200,Saltfleet,
FASOJ,Conger,Geographic Township,Administrative Area,GEOG,45.1861111,-79.9266667,Parry Sound,1962-12-31
FASPA,Coningsby,Dispersed Rural Community,Populated Place,UNP,43.7436111,-80.1252777,Wellington,1950-09-07
FASPB,Coniston,Urban Community,Populated Place,UNP,46.4905700,-80.8479100,Sudbury,1973-01-01
FASPE,Conking,Geographic Township,Administrative Area,GEOG,48.6022600,-83.5181800,Algoma,1962-12-31
FASPS,Conmee,Geographic Township,Administrative Area,GEOG,48.4872222,-89.6422222,Thunder Bay,1962-12-31
FELNR,Conmee,Township Municipality,Administrative Area,MUN2,48.4849300,-89.6690200,Thunder Bay,1913-01-01
FASPR,Conmee,Railway Point,Populated Place,UNP,48.5387700,-89.6415400,Thunder Bay,1949-05-05
FASPX,Conn,Compact Rural Community,Populated Place,UNP,43.9981600,-80.5680000,Wellington,1950-06-02
FASQB,Connaught,Geographic Township,Administrative Area,GEOG,47.6266666,-81.3930556,Sudbury,1962-12-31
FASPY,Connaught,Dispersed Rural Community,Populated Place,UNP,45.1455556,-75.2133334,Dundas,1950-01-16
FASPZ,Connaught,Dispersed Rural Community,Populated Place,UNP,45.6388889,-77.0052778,Renfrew,1965-10-15
FASQA,Connaught,Dispersed Rural Community,Populated Place,UNP,48.6185700,-80.9368400,Cochrane,1949-05-05
FASQC,Connaught Hill,Urban Community,Populated Place,UNP,48.4709100,-81.2053800,Cochrane,1978-11-22
FASQG,Connaught Shore,Dispersed Rural Community,Populated Place,UNP,44.4458334,-78.3741667,Peterborough,1979-07-18
FASQJ,Connell,Geographic Township,Administrative Area,GEOG,51.4977778,-90.0925000,Kenora,1962-12-31
FASQQ,Connellys,Dispersed Rural Community,Populated Place,UNP,44.3566667,-77.8261111,Northumberland,1974-09-11
FASQX,Connor,Dispersed Rural Community,Populated Place,UNP,43.9858333,-79.9250000,Simcoe,1950-07-06
FASRM,Conover,Dispersed Rural Community,Populated Place,UNP,44.1905555,-80.2130555,Dufferin,1950-06-02
FASRS,Conroy,Dispersed Rural Community,Populated Place,UNP,43.2933333,-81.0486111,Perth,1950-07-06
FIDVQ,Conroys Marsh Conservation Reserve,Conservation Reserve,Administrative Area,PARK,45.2813720,-77.5932870,Renfrew,2003-12-31
FASRX,Consecon,Compact Rural Community,Populated Place,UNP,43.9956100,-77.5221200,Prince Edward,1932-03-01
FASSB,Constance Bay,Dispersed Rural Community,Populated Place,UNP,45.4866667,-76.0755555,Carleton,1935-03-05
FOBQW,Constance Lake,First Nation Administrative Location,Administrative Area,MUN2,49.8063320,-84.1434920,,2023-09-14
FIFNA,Constance Lake (Achikamii/Achikamaw),Community,Populated Place,UNP,49.8049600,-84.1347520,District of Cochrane,2010-07-13
FESYE,Constance Lake 92,Indian Reserve,Administrative Area,IR,49.8163890,-84.1261110,Cochrane,
FASSQ,Constant Creek,Dispersed Rural Community,Populated Place,UNP,45.4146100,-77.0126100,Renfrew,1965-12-30
FIDVS,Constant Creek Swamp and Fen Conservation Reserve,Conservation Reserve,Administrative Area,PARK,45.3005380,-76.8146050,Renfrew,2003-12-31
FAYVA,Convent Glen,Urban Community,Populated Place,UNP,45.4666670,-75.5333330,Carleton,
FASTK,Conway,Dispersed Rural Community,Populated Place,UNP,44.1120600,-76.9148400,Lennox and Addington,1951-02-07
FASTT,Cook,Geographic Township,Administrative Area,GEOG,48.4067700,-80.2097500,Cochrane,1962-12-31
FASUM,Cooke's Shore,Dispersed Rural Community,Populated Place,UNP,45.0450000,-76.2108333,Lanark,1977-09-09
FASVS,Cooks Mills,Dispersed Rural Community,Populated Place,UNP,42.9963889,-79.1788889,Niagara,1951-01-17
FASVU,Cooks Mills,Dispersed Rural Community,Populated Place,UNP,46.4045300,-79.4671100,Nipissing,1932-02-02
FASVZ,Cookstown,Urban Community,Populated Place,UNP,44.1902778,-79.7019444,Simcoe,1991-01-01
FASWC,Cooksville,Urban Community,Populated Place,UNP,43.5802778,-79.6158334,Peel,1950-05-04
FASWY,Cooper,Geographic Township,Administrative Area,GEOG,48.6022223,-84.9277778,Algoma,1962-12-31
FASWZ,Cooper,Dispersed Rural Community,Populated Place,UNP,44.6452500,-77.4745900,Hastings,1947-01-07
FASXR,Cooper's Trailer Park,Locality,Populated Place,UNP,44.3149000,-78.1993300,Peterborough,1979-07-18
FASXN,Coopers Falls,Dispersed Rural Community,Populated Place,UNP,44.7872222,-79.2333334,Simcoe,1947-07-03
FASYA,Cootes Paradise,Urban Community,Populated Place,UNP,43.2675000,-79.9455556,Wentworth,1977-02-24
FAYVB,Copeland Park,Community,Populated Place,UNP,45.3636111,-75.7477778,Carleton,2003-02-18
FASYN,Copenace,Geographic Township,Administrative Area,GEOG,48.2368200,-84.0786400,Algoma,1975-07-03
FASYO,Copenhagen,Dispersed Rural Community,Populated Place,UNP,42.6773500,-80.9853400,Elgin,1950-07-06
FASYS,Copetown,Dispersed Rural Community,Populated Place,UNP,43.2437800,-80.0556700,Wentworth,1950-07-06
FASZB,Copp,Dispersed Rural Community,Populated Place,UNP,45.4686111,-77.4516666,Renfrew,1948-04-19
FASZE,Coppell,Geographic Township,Administrative Area,GEOG,47.8875000,-82.5344444,Sudbury,1962-12-31
FASZF,Coppell,Dispersed Rural Community,Populated Place,UNP,49.5360100,-83.8292100,Cochrane,1952-05-01
FASZK,Copper Cliff,Urban Community,Populated Place,UNP,46.4766667,-81.0680556,Sudbury,1949-08-04
FASZM,Copperfield,Geographic Township,Administrative Area,GEOG,48.2555555,-83.0877778,Sudbury,1962-12-31
FASZQ,Copperhead,Dispersed Rural Community,Populated Place,UNP,45.1556500,-80.1314900,Parry Sound,1960-03-03
FASZY,Copperkettle,Locality,Populated Place,UNP,44.6487300,-81.0052900,Grey,1978-04-14
FATAK,Coppin's Corners,Dispersed Rural Community,Populated Place,UNP,44.0458334,-79.1472222,Durham,1977-08-18
FATAQ,Coral,Dispersed Rural Community,Populated Place,UNP,50.2170900,-81.6787300,Cochrane,1964-09-18
FEPSW,Coral Rapids Provincial Nature Reserve,Provincial Nature Reserve,Administrative Area,PARK,50.2422222,-81.6666666,Cochrane,1990-12-31
FIDVU,Coral Rapids Wetland Conservation Reserve,Conservation Reserve,Administrative Area,PARK,50.3210500,-81.6752590,Kilmer,2005-12-31
FATBC,Corbeil,Dispersed Rural Community,Populated Place,UNP,46.2608333,-79.2905555,Nipissing,1933-10-03
FIEVO,Corbeil Conservation Area,Conservation Area,Administrative Area,PARK,46.2700000,-79.3000000,Ferris,
FATBH,Corbett,Dispersed Rural Community,Populated Place,UNP,43.2452778,-81.6913889,Middlesex,1950-05-04
FATBN,Corbetton,Compact Rural Community,Populated Place,UNP,44.1387800,-80.3269900,Dufferin,1950-06-02
FATBQ,Corbiere,Geographic Township,Administrative Area,GEOG,48.1500000,-84.6019444,Algoma,1975-07-03
FATBY,Corboy,Geographic Township,Administrative Area,GEOG,47.5288889,-84.2919444,Algoma,1975-07-03
FATCB,Corbyville,Compact Rural Community,Populated Place,UNP,44.2158334,-77.3827778,Hastings,1932-05-31
FATCL,Cordova Mines,Compact Rural Community,Populated Place,UNP,44.5418000,-77.7827600,Peterborough,1947-03-13
FATDA,Corinth,Dispersed Rural Community,Populated Place,UNP,42.8216800,-80.8332100,Elgin,1950-06-02
FATDD,Coristine,Railway Point,Populated Place,UNP,46.0909600,-78.8904600,Nipissing,1948-11-08
FATDJ,Corkery,Dispersed Rural Community,Populated Place,UNP,45.2833333,-76.1019444,Carleton,1977-09-09
FATDN,Corkill,Geographic Township,Administrative Area,GEOG,47.5408333,-80.5927778,Timiskaming,1962-12-31
FATDZ,Corktown,Urban Community,Populated Place,UNP,43.2491666,-79.8669445,Wentworth,1974-08-06
FATEC,Corless,Geographic Township,Administrative Area,GEOG,51.1513889,-92.8688889,Kenora,1962-12-31
FATEF,Corley,Geographic Township,Administrative Area,GEOG,47.3708333,-80.7150000,Timiskaming,1962-12-31
FATEH,Cormac,Compact Rural Community,Populated Place,UNP,45.4633333,-77.2941666,Renfrew,1948-04-19
FATEI,Corman,Geographic Township,Administrative Area,GEOG,49.2387800,-91.0284100,Kenora,1962-12-31
FATEX,Cornell,Dispersed Rural Community,Populated Place,UNP,42.9042600,-80.6265100,Oxford,1950-06-02
FATGO,Cornwall,Geographic Township,Administrative Area,GEOG,45.0838889,-74.8330556,Stormont,1962-12-31
FCCOT,Cornwall,City,Populated Place,CITY,45.0263889,-74.7263889,Stormont,1951-04-05
FATGQ,Cornwall Centre,Dispersed Rural Community,Populated Place,UNP,45.0478800,-74.8012200,Stormont,1951-04-05
FATGT,Cornwall Island,Dispersed Rural Community,Populated Place,UNP,45.0113889,-74.6811111,Stormont,1969-09-04
FATHB,Coronation Gardens,Compact Rural Community,Populated Place,UNP,43.9572222,-79.0086111,Durham,1965-05-31
FATHD,Coronation Park,Urban Community,Populated Place,UNP,42.9692500,-82.3720800,Lambton,1974-08-06
FATHM,Corrigal,Geographic Township,Administrative Area,GEOG,49.0144444,-88.1666667,Thunder Bay,1975-07-03
FATIC,Corsons,Dispersed Rural Community,Populated Place,UNP,44.6291667,-78.8919445,Victoria,1953-11-05
FATID,Cortez,Geographic Township,Administrative Area,GEOG,47.1937400,-82.4059800,Sudbury,1962-12-31
FATIF,Corunna,Compact Rural Community,Populated Place,UNP,42.8855556,-82.4483333,Lambton,1950-05-04
FATIH,Corwhin,Dispersed Rural Community,Populated Place,UNP,43.5097222,-80.1050000,Wellington,1974-12-31
FATII,Corwin Crescent,Urban Community,Populated Place,UNP,43.0841667,-79.1036111,Niagara,1974-08-02
FATIK,Cosby,Geographic Township,Administrative Area,GEOG,46.1479000,-80.4934100,Sudbury,1962-12-31
FATIN,Cosens,Geographic Township,Administrative Area,GEOG,47.8912500,-83.9293000,Sudbury,1962-12-31
FATJA,Costello,Geographic Township,Administrative Area,GEOG,51.1511111,-92.4525000,Kenora,1962-12-31
FATJH,Cosy Cove,Dispersed Rural Community,Populated Place,UNP,44.4908334,-77.2808333,Hastings,1979-07-18
FATJQ,Cotieville,Suburban Community,Populated Place,UNP,45.4798900,-76.7171000,Renfrew,1977-02-10
FATJS,Cotnam Island,Dispersed Rural Community,Populated Place,UNP,45.7988889,-77.0319444,Renfrew,1972-02-24
FATJV,Cotswold,Dispersed Rural Community,Populated Place,UNP,43.8694444,-80.7905556,Wellington,1950-06-02
FATJX,Cottam,Police Village,Populated Place,UNP,42.1296100,-82.7443200,Essex,1950-05-04
FATJY,Cotte,Geographic Township,Administrative Area,GEOG,48.7783333,-86.1619444,Thunder Bay,1975-07-03
FATKE,Cottesloe,Dispersed Rural Community,Populated Place,UNP,44.4066667,-78.0805555,Peterborough,1957-01-17
FATKH,Cotton,Geographic Township,Administrative Area,GEOG,47.1062800,-81.0133900,Sudbury,1962-12-31
FESYF,Couchiching 16A,Indian Reserve,Administrative Area,IR,48.6880550,-93.4261110,Rainy River,
FOBUD,Couchiching First Nation,First Nation Administrative Location,Administrative Area,MUN2,48.6342685,-93.3597692,,2023-09-14
FATLI,Coughlin,Dispersed Rural Community,Populated Place,UNP,48.8882300,-88.3836300,Thunder Bay,1969-05-02
FATLR,Coulson,Geographic Township,Administrative Area,GEOG,48.6688300,-80.3456600,Cochrane,1962-12-31
FATLT,Coulson,Dispersed Rural Community,Populated Place,UNP,44.5762700,-79.6156500,Simcoe,1932-07-06
FATLY,Coulson's Hill,Dispersed Rural Community,Populated Place,UNP,44.1634400,-79.5768500,Simcoe,1977-08-18
FATMF,Coulterville,Locality,Populated Place,UNP,43.8319445,-80.0297222,Peel,1976-08-26
FATMN,Country Hills,Urban Community,Populated Place,UNP,43.4150000,-80.4738889,Waterloo,1978-09-14
FAYVC,Country Place,Community,Populated Place,UNP,45.3216666,-75.7072223,Carleton,2003-02-18
FEVER,County of Brant,City,Populated Place,CITY,43.1391667,-80.2813889,Brant,1999-01-26
FATMW,Courtice,Compact Rural Community,Populated Place,UNP,43.9117000,-78.7781700,Durham,1952-01-17
FATMZ,Courtland,Dispersed Rural Community,Populated Place,UNP,42.8425000,-80.6333333,Norfolk,1950-06-02
FATNA,Courtland Park,Community,Populated Place,UNP,45.3712510,-75.7121200,Carleton,2004-03-05
FATNI,Courtright,Compact Rural Community,Populated Place,UNP,42.8186111,-82.4688889,Lambton,1950-05-04
FATNR,Coutnac Beach,Compact Rural Community,Populated Place,UNP,44.8299200,-79.9171100,Simcoe,1978-09-14
FATNV,Couttsville,Dispersed Rural Community,Populated Place,UNP,47.6675000,-79.6944445,Timiskaming,1950-09-07
FATNY,Cove Beach,Dispersed Rural Community,Populated Place,UNP,43.9216900,-77.1776400,Prince Edward,1965-06-21
FATNZ,Cove Beach,Dispersed Rural Community,Populated Place,UNP,44.7472222,-80.1136111,Simcoe,1978-09-14
FATOA,Cove Inlet,Railway Point,Populated Place,UNP,49.3527778,-88.1319445,Thunder Bay,1960-05-05
FATOO,Coventry,Settlement,Populated Place,UNP,43.9041667,-79.7308333,Peel,1994-10-28
FATOR,Coverdale,Compact Rural Community,Populated Place,UNP,43.9610800,-78.1443000,Northumberland,1960-08-04
FATPJ,Cowan's Bay,Dispersed Rural Community,Populated Place,UNP,44.3358334,-78.5433333,Victoria,1977-09-07
FATPU,Cowie,Geographic Township,Administrative Area,GEOG,48.1542900,-84.4703700,Algoma,1975-07-03
FATQW,Cowper,Geographic Township,Administrative Area,GEOG,45.2490000,-80.0847700,Parry Sound,1962-12-31
FATRA,Cox,Geographic Township,Administrative Area,GEOG,46.1450000,-80.7552778,Sudbury,1962-12-31
FATRQ,Coxvale,Dispersed Rural Community,Populated Place,UNP,44.8797222,-76.8702778,Frontenac,1941-04-29
FATRU,Coyle,Geographic Township,Administrative Area,GEOG,49.7558900,-94.1590600,Kenora,1962-12-31
FATRV,Coyle,Dispersed Rural Community,Populated Place,UNP,42.9809400,-79.2707200,Niagara,1951-01-17
FATSG,Cozy Corners,Locality,Populated Place,UNP,48.9430556,-94.2947222,Rainy River,1978-09-14
FATTY,Craig,Geographic Township,Administrative Area,GEOG,46.7616666,-81.7516667,Sudbury,1962-12-31
FAYVD,Craig Henry,Community,Populated Place,UNP,45.3325000,-75.7683334,Carleton,2003-02-18
FATUY,Craig Shore,Dispersed Rural Community,Populated Place,UNP,45.0416667,-76.1677777,Lanark,1977-09-09
FEPSU,Craig's Pit Provincial Nature Reserve,Provincial Nature Reserve,Administrative Area,PARK,48.6886111,-86.3391667,Thunder Bay,1990-12-31
FATUB,Craighurst,Compact Rural Community,Populated Place,UNP,44.5291400,-79.7256700,Simcoe,1949-03-03
FATUM,Craigleith,Dispersed Rural Community,Populated Place,UNP,44.5245900,-80.3296300,Grey,1950-06-02
FATUN,Craigleith Provincial Park,Provincial Park,Administrative Area,PARK,44.5333333,-80.3500000,Grey,1990-12-31
FATUO,Craigmawr Beach,Dispersed Rural Community,Populated Place,UNP,44.2386800,-79.4729400,York,1976-11-15
FATUQ,Craigmont,Dispersed Rural Community,Populated Place,UNP,45.2958334,-77.6350000,Hastings,1965-12-16
FATUX,Craigsholme,Dispersed Rural Community,Populated Place,UNP,43.7816667,-80.2769444,Dufferin,1936-10-06
FATVK,Cramahe,Geographic Township,Administrative Area,GEOG,44.1001500,-77.8831200,Northumberland,1978-01-01
FELNV,Cramahe,Township Municipality,Administrative Area,MUN2,44.0866666,-77.8772222,Northumberland,2001-01-01
FATVR,Crampton,Dispersed Rural Community,Populated Place,UNP,42.9445600,-80.9422500,Middlesex,1950-06-02
FATVT,Cranberry,Locality,Populated Place,UNP,45.9116666,-80.5727777,Parry Sound,1976-06-22
FEPSV,Cranberry Lake Provincial Nature Reserve,Provincial Nature Reserve,Administrative Area,PARK,48.8604500,-94.3580300,Rainy River,1990-12-31
FATYV,Cranbrook,Dispersed Rural Community,Populated Place,UNP,43.7035100,-81.1939800,Huron,1936-10-06
FIDVW,Crane Lake Forest Conservation Reserve,Conservation Reserve,Administrative Area,PARK,45.2311180,-79.9769710,Conger,2003-12-31
FAUAD,Cranston,Dispersed Rural Community,Populated Place,UNP,42.9994444,-79.9291667,Haldimand,1950-05-04
FEPMN,Crater Lakes Wilderness Area,Wilderness Area,Administrative Area,PARK,46.0461111,-81.5208333,Manitoulin,1970-12-31
FAUAK,Crathie,Dispersed Rural Community,Populated Place,UNP,43.0290100,-81.6303900,Middlesex,1950-05-04
FAUAP,Crawford,Geographic Township,Administrative Area,GEOG,48.8418700,-81.4009500,Cochrane,1962-12-31
FAUAQ,Crawford,Dispersed Rural Community,Populated Place,UNP,44.2617700,-80.9322400,Grey,1945-04-16
FEPOX,Crawford Lake Conservation Area,Conservation Area,Administrative Area,PARK,43.4668400,-79.9533700,Regional Municipality of Halton,
FAUBF,Crawford's Grove,Dispersed Rural Community,Populated Place,UNP,44.2763889,-78.3338889,Peterborough,1952-01-17
FAUCC,Crean Hill,Dispersed Rural Community,Populated Place,UNP,46.4271900,-81.3515300,Sudbury,1949-08-04
FAUCM,Crediton,Locality,Populated Place,UNP,43.3006200,-81.5484600,Huron,2001-01-01
FECZU,Creditville,Dispersed Rural Community,Populated Place,UNP,43.1522222,-80.6100000,Oxford,1977-08-29
FAUCR,Cree,Dispersed Rural Community,Populated Place,UNP,49.2110200,-84.7087600,Algoma,1952-05-01
FAUCX,Creek Bank,Dispersed Rural Community,Populated Place,UNP,43.7050800,-80.5359600,Wellington,1950-07-06
FAUDE,Creelman,Geographic Township,Administrative Area,GEOG,46.9341667,-81.0044444,Sudbury,1962-12-31
FAUDG,Creemore,Urban Community,Populated Place,UNP,44.3263740,-80.1057610,Simcoe,1994-01-01
FEBXM,Creighton,Compact Rural Community,Populated Place,UNP,46.4580556,-81.1805556,Sudbury,1986-07-25
FAUDL,Creighton,Dispersed Rural Community,Populated Place,UNP,44.6191667,-79.5916667,Simcoe,1932-07-06
FAUDO,Creighton Heights,Dispersed Rural Community,Populated Place,UNP,44.0176500,-78.1466500,Northumberland,1960-09-01
FESOX,Creighton-Davies,Geographic Township,Administrative Area,GEOG,46.4963889,-81.2463889,Sudbury,1997-12-08
FAUDS,Creosote,Railway Point,Populated Place,UNP,46.4728800,-81.0237900,Sudbury,1975-04-16
FAUDU,Crerar,Geographic Township,Administrative Area,GEOG,46.5830556,-80.2286111,Nipissing,1962-12-31
FAUDV,Crerar,Railway Point,Populated Place,UNP,46.6315000,-80.5480200,Sudbury,1950-11-03
FAUDX,Crescent Bay,Locality,Populated Place,UNP,42.7902778,-80.1219444,Norfolk,1979-03-09
FAUDY,Crescent Beach,Compact Rural Community,Populated Place,UNP,44.3105556,-79.4413889,York,1929-01-08
FAUEC,Crescent Beach,Dispersed Rural Community,Populated Place,UNP,42.8839700,-78.9687600,Niagara,1974-08-02
FAUEE,Crescent Harbour,Compact Rural Community,Populated Place,UNP,44.3724000,-79.5317100,Simcoe,1959-10-28
FAUEU,Crescent Park,Compact Rural Community,Populated Place,UNP,42.8951000,-78.9650100,Niagara,1961-07-05
FEDPH,Crescent Town,Urban Community,Populated Place,UNP,43.6977778,-79.2938889,York,1979-10-02
FAUEZ,Cresswell,Dispersed Rural Community,Populated Place,UNP,44.2875000,-78.9705556,Victoria,1951-01-17
FAUFA,Cressy,Dispersed Rural Community,Populated Place,UNP,44.0911111,-76.8786111,Prince Edward,1951-02-07
FAUFL,Crestview,Urban Community,Populated Place,UNP,45.3422223,-75.7363888,Carleton,1962-08-13
FAUFQ,Crewe,Dispersed Rural Community,Populated Place,UNP,43.9008333,-81.6416667,Huron,1936-10-06
FEDAG,Crewsons Corners,Dispersed Rural Community,Populated Place,UNP,43.6301300,-80.0864400,Wellington,1950-09-07
FAUGC,Crieff,Dispersed Rural Community,Populated Place,UNP,43.4241700,-80.1515000,Wellington,1949-07-07
FAUGD,Crilly,Railway Point,Populated Place,UNP,48.7504000,-92.2773200,Rainy River,1969-10-21
FAUGE,Crinan,Dispersed Rural Community,Populated Place,UNP,42.6500000,-81.6661111,Elgin,1978-01-20
FDYNN,Crockett,Geographic Township,Administrative Area,GEOG,47.8890900,-82.9201400,Sudbury,1962-12-31
FDYNM,Croft,Geographic Township,Administrative Area,GEOG,45.6655556,-79.7488889,Parry Sound,1962-12-31
FAUHG,Crofton,Dispersed Rural Community,Populated Place,UNP,44.0686111,-77.3116666,Prince Edward,1932-05-31
FDYNL,Croll,Geographic Township,Administrative Area,GEOG,49.7100000,-86.7516666,Thunder Bay,1962-12-31
FAUHQ,Cromar,Dispersed Rural Community,Populated Place,UNP,42.7875000,-82.2616667,Lambton,1950-05-04
FAUHR,Cromarty,Dispersed Rural Community,Populated Place,UNP,43.4272222,-81.3505556,Perth,1950-07-06
FEBWW,Crombies,Locality,Populated Place,UNP,44.0180900,-80.1889900,Dufferin,1977-07-04
FDYNK,Cromlech,Geographic Township,Administrative Area,GEOG,49.0147900,-83.3229500,Algoma,1962-12-31
FAUIE,Crooked Bay,Dispersed Rural Community,Populated Place,UNP,44.9223100,-79.7671200,Muskoka,1962-06-27
FAUIU,Crooked Creek,Dispersed Rural Community,Populated Place,UNP,43.9738200,-78.5115400,Durham,1952-01-17
FDGTT,Crooks,Geographic Township,Administrative Area,GEOG,48.1101200,-89.4649400,Thunder Bay,1962-12-31
FAUKZ,Crooks,Dispersed Rural Community,Populated Place,UNP,48.0791700,-89.5228900,Thunder Bay,1974-12-31
FEPOY,Crooks Hollow Conservation Area,Conservation Area,Administrative Area,PARK,43.2833330,-80.0000000,,
FAULH,Crookston,Dispersed Rural Community,Populated Place,UNP,44.4302778,-77.4486111,Hastings,1952-01-17
FDYNJ,Croome,Geographic Township,Administrative Area,GEOG,49.0476300,-94.0327200,Rainy River,1962-12-31
FAULN,Crosby,Dispersed Rural Community,Populated Place,UNP,44.6538889,-76.2586111,Leeds,1952-06-02
FDYNI,Cross,Geographic Township,Administrative Area,GEOG,49.6430556,-84.7822222,Algoma,1962-12-31
FAUMO,Cross Lake,Dispersed Rural Community,Populated Place,UNP,45.4114400,-77.9218400,Nipissing,1947-12-02
FAUMJ,Crosshill,Dispersed Rural Community,Populated Place,UNP,43.5303900,-80.7427700,Waterloo,1950-07-06
FAUNM,Crossland,Dispersed Rural Community,Populated Place,UNP,44.5338889,-79.9138889,Simcoe,1932-07-06
FAUNP,Crossley Hunter,Dispersed Rural Community,Populated Place,UNP,42.8536111,-81.0344444,Elgin,1965-06-28
FIDVY,Crotch Lake Conservation Reserve,Conservation Reserve,Administrative Area,PARK,44.9029230,-76.7999150,Frontenac,2006-12-31
FDYND,Crothers,Geographic Township,Administrative Area,GEOG,48.0597800,-81.7890600,Sudbury,1962-12-31
FAUOV,Croton,Dispersed Rural Community,Populated Place,UNP,42.6123800,-82.0437700,Kent,1950-05-04
FEUZT,Croton Conservation Area,Conservation Area,Administrative Area,PARK,42.8250000,-80.5083330,,
